ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E)
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		4201			E
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	02	DEM	Democratic	-1128	Clinton	Hillary			1732			
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1101	Johnson	Gary			164			
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1108	Castle	Darrell	L.		28			
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	05	GRN	Green	-1130	Stein	Jill			54			
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	06	NLP	Natural Law	-1112	Soltysik	Emidio	Mimi		0			
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1135	Fox	Cherunda			0	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1136	Hartnell	Ben			0	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1142	Hoefling	Tom			0	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1137	Kotlikoff	Laurence			0	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1141	Maturen	Michael	A.		16	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1139	McMullin	Evan			3	W		
2016-11-08	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	08	NPA	No  Affiliation	-1140	Moorehead	Monica			0	W		
2016-11-08	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	01	REP	Republican	-1110	Trump	Donald	J.		2585			E
