CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
Alachua,69699,1922,48797,20902,1,0.58,0.02,0.41,0.16999999999999998,1,75820,5917,46834,28986,1,0.59,0.05,0.36,0.22999999999999998,1,74493,20,40599,33894,1,0.65,0.0,0.35,0.30000000000000004,1,SOLID BLUE,0.07,0.13,0.06,North Central,12001,177947,50097,85143,42707,180934,50071,86664,44199,185167,49875,91193,44099,128571,115112,0.723,0.636,133876.0,39479.4,2363.5499999999993,22840.43,16638.97,1,0.6103,0.0365,0.3531,0.25719999999999993,1,64683.380000000005,0.349,69192.62,42228.255986,24431.914122,2525.5306299999997,81707.655986,47272.344121999995,4889.080629999999,34435.0,Biden
Baker,2311,82,8975,-6664,2,0.2,0.01,0.79,-0.5900000000000001,2,2112,228,10294,-8182,2,0.17,0.02,0.81,-0.64,2,1945,1,8579,-6634,2,0.18,0.0,0.82,-0.6399999999999999,2,SOLID RED,0.0,-0.05,-0.05,Northeast,12003,15147,7640,5922,1585,15108,8220,5224,1664,15872,9506,4471,1895,12634,10525,0.834,0.697,13237.0,1090.28,87.38000000000001,5121.13,-4030.8500000000004,2,0.1731,0.0139,0.813,-0.6398999999999999,2,6298.79,0.397,6938.21,1201.004151,5640.76473,96.441119,2291.284151,10761.89473,183.821119,-8471.0,Trump
Bay,22051,934,56876,-34825,2,0.28,0.01,0.71,-0.42999999999999994,2,21797,3462,62194,-40397,2,0.25,0.04,0.71,-0.45999999999999996,2,16723,7,46681,-29958,2,0.26,0.0,0.74,-0.48,2,SOLID RED,-0.02,-0.05,-0.03,Northwest,12005,118016,60998,31698,25320,120851,62884,30932,27035,117779,62747,28741,26291,87453,63411,0.741,0.525,87274.0,12415.52,1629.15,25689.28,-13273.759999999998,2,0.3125,0.041,0.6465,-0.33399999999999996,2,39733.950000000004,0.337,47540.049999999996,14856.265624999998,30734.642324999997,1949.14205,27271.785624999997,56423.92232499999,3578.29205,-29152.0,Trump
Bradford,3325,91,8219,-4894,2,0.29,0.01,0.71,-0.42,2,2924,261,8913,-5989,2,0.24,0.02,0.74,-0.5,2,2879,1,7576,-4697,2,0.28,0.0,0.72,-0.43999999999999995,2,SOLID RED,0.06,-0.02,-0.08,North Central,12007,16042,7259,6461,2322,16317,7828,5947,2542,17111,8818,5615,2678,12098,10456,0.754,0.641,12902.0,1630.38,98.36,3618.46,-1988.08,2,0.3049,0.0184,0.6767,-0.37179999999999996,2,5347.2,0.313,7554.8,2303.45852,5112.33316,139.00832,3933.8385200000002,8730.793160000001,237.36831999999998,-4797.0,Trump
Brevard,122993,3266,159300,-36307,2,0.43,0.01,0.56,-0.13000000000000006,2,119679,13225,181848,-62169,2,0.38,0.04,0.58,-0.19999999999999996,2,121112,56,160305,-39193,2,0.43,0.0,0.57,-0.13999999999999996,2,SOLID RED,0.06,-0.01,-0.07,East Central,12009,412032,173319,131225,107488,422606,177943,130958,113705,432521,183599,134430,114492,314752,281473,0.764,0.666,330446.0,60047.69,5693.600000000001,76336.48,-16288.789999999994,2,0.4226,0.0401,0.5373,-0.11470000000000002,2,142077.77,0.328,188368.23,79604.413998,101210.249979,7553.566022999999,139652.103998,177546.729979,13247.166023000002,-37895.0,Trump
Broward,508312,4009,244101,264211,1,0.67,0.01,0.32,0.35000000000000003,1,553320,17680,260951,292369,1,0.67,0.02,0.31,0.36000000000000004,1,472239,0,211397,260842,1,0.69,0.0,0.31,0.37999999999999995,1,SOLID BLUE,0.02,0.03,0.01,South,12011,1179255,256587,597474,325194,1175328,250869,590287,334172,1217630,256038,614105,347487,831951,683636,0.705,0.582,858429.0,314348.59,6610.27,126600.66,187747.93000000002,1,0.7024,0.0148,0.2829,0.41950000000000004,1,447559.52,0.368,410869.48,288594.722752,116234.97589199999,6080.868304,602943.312752,242835.635892,12691.138304,360108.0,Biden
Calhoun,1664,122,4366,-2702,2,0.27,0.02,0.71,-0.43999999999999995,2,1241,185,4655,-3414,2,0.2,0.03,0.77,-0.5700000000000001,2,1033,0,3586,-2553,2,0.22,0.0,0.78,-0.56,2,SOLID RED,0.01,-0.12,-0.13,Northwest,12013,8596,2245,5433,918,8695,2661,5017,1017,8434,3212,4229,993,6081,4619,0.707,0.531,5963.0,713.02,73.41999999999999,2296.14,-1583.12,2,0.2313,0.0238,0.7449,-0.5136000000000001,2,3082.58,0.365,2880.42,666.2411460000001,2145.624858,68.55399600000001,1379.261146,4441.7648580000005,141.973996,-3063.0,Trump
Charlotte,35906,780,47996,-12090,2,0.42,0.01,0.57,-0.14999999999999997,2,33445,2711,60218,-26773,2,0.35,0.03,0.62,-0.27,2,33525,16,52916,-19391,2,0.39,0.0,0.61,-0.21999999999999997,2,SOLID RED,0.05,-0.07,-0.12,Southwest,12015,128332,56469,36160,35703,134545,60836,36727,36982,146455,66827,39255,40373,96374,86457,0.751,0.643,109988.0,17729.59,1215.8999999999999,27537.29,-9807.7,2,0.3814,0.0262,0.5924,-0.21100000000000002,2,46482.780000000006,0.317,63505.219999999994,24220.890907999998,37620.492328,1663.836764,41950.480908,65157.782328,2879.7367639999998,-23207.0,Trump
Citrus,28460,813,44662,-16202,2,0.38,0.01,0.6,-0.21999999999999997,2,22789,2455,54456,-31667,2,0.29,0.03,0.68,-0.39000000000000007,2,22660,15,48008,-25348,2,0.32,0.0,0.68,-0.36000000000000004,2,SOLID RED,0.03,-0.14,-0.17,North Central,12017,105696,48903,30425,26368,109388,52422,29608,27358,112420,56799,28417,27204,79700,70683,0.754,0.646,84765.0,13355.47,1068.0100000000002,26498.96,-13143.49,2,0.3264,0.0261,0.6475,-0.32109999999999994,2,40922.44,0.364,43842.56,14310.211584,28388.057599999996,1144.290816,27665.681583999998,54887.01759999999,2212.300816,-27221.0,Trump
Clay,25759,808,70022,-44263,2,0.27,0.01,0.72,-0.44999999999999996,2,27822,3698,74963,-47141,2,0.26,0.03,0.7,-0.43999999999999995,2,27718,11,65639,-37921,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.04,0.05,0.01,Northeast,12019,146641,80033,32071,34537,153119,82227,34005,36887,157332,84920,35311,37101,106483,93368,0.726,0.61,114223.0,15264.88,1424.9999999999998,34425.11,-19160.230000000003,2,0.2986,0.0279,0.6735,-0.3749,2,51114.99,0.325,63108.01,18844.051786,42503.244735,1760.7134790000002,34108.931786,76928.354735,3185.713479,-42819.0,Trump
Collier,51698,894,96520,-44822,2,0.35,0.01,0.65,-0.30000000000000004,2,61085,4281,105423,-44338,2,0.36,0.03,0.62,-0.26,2,54390,6,101266,-46876,2,0.35,0.0,0.65,-0.30000000000000004,2,SOLID RED,-0.04,0.0,0.04,Southwest,12021,200707,102287,47514,50906,213664,108242,50857,54565,215202,109825,53298,52079,170789,155662,0.851,0.729,183137.0,32740.72,1449.8699999999997,48599.21,-15858.489999999998,2,0.3955,0.0175,0.587,-0.19149999999999995,2,82789.79999999999,0.385,100347.20000000001,39687.31760000001,58903.8064,1756.0760000000005,72428.03760000001,107503.0164,3205.946,-35075.0,Trump
Columbia,8462,272,18429,-9967,2,0.31,0.01,0.68,-0.37000000000000005,2,7601,738,20368,-12767,2,0.26,0.03,0.71,-0.44999999999999996,2,7505,6,17234,-9729,2,0.3,0.0,0.7,-0.39999999999999997,2,SOLID RED,0.05,-0.03,-0.08,North Central,12023,37385,16311,14430,6644,40375,18648,14290,7437,42381,20828,13696,7857,28707,24745,0.768,0.613,32549.0,4546.05,272.74,8837.25,-4291.2,2,0.3329,0.02,0.6471,-0.31420000000000003,2,13656.039999999999,0.322,18892.96,6289.466383999999,12225.634415999999,377.8592,10835.516383999999,21062.884416,650.5992,-10227.0,Trump
Desoto,4174,104,5587,-1413,2,0.42,0.01,0.57,-0.14999999999999997,2,3781,259,6778,-2997,2,0.35,0.02,0.63,-0.28,2,3328,0,5503,-2175,2,0.38,0.0,0.62,-0.24,2,SOLID RED,0.04,-0.09,-0.13,West Central,12027,15884,5072,7492,3320,16735,5677,7176,3882,16981,6377,6569,4035,10818,8831,0.681,0.528,11564.0,2154.46,101.53,3161.78,-1007.3200000000002,2,0.3977,0.0187,0.5836,-0.1859,2,5417.7699999999995,0.319,6146.2300000000005,2444.3556710000003,3586.9398280000005,114.93450100000001,4598.815671,6748.719828000001,216.464501,-2150.0,Trump
Dixie,1798,91,5052,-3254,2,0.26,0.01,0.73,-0.47,2,1270,110,5822,-4552,2,0.18,0.02,0.81,-0.6300000000000001,2,1322,0,4442,-3120,2,0.23,0.0,0.77,-0.54,2,SOLID RED,0.09,-0.07,-0.16,North Central,12029,9923,3630,4753,1540,9670,3984,4104,1582,10065,4904,3434,1727,7202,5764,0.726,0.596,7307.0,721.11,43.37,2394.78,-1673.67,2,0.2283,0.0137,0.758,-0.5297000000000001,2,3159.26,0.314,4147.74,946.929042,3143.98692,56.824038,1668.0390419999999,5538.76692,100.194038,-3871.0,Trump
Duval,196737,3496,211615,-14878,2,0.48,0.01,0.51,-0.030000000000000027,2,205704,15319,211672,-5968,2,0.48,0.04,0.49,-0.010000000000000009,2,192381,45,185904,6477,1,0.51,0.0,0.49,0.020000000000000018,1,OBAMA-TRUMP,0.03,0.05,0.02,Northeast,12031,588121,220742,240293,127086,607386,221572,247865,137949,634439,225886,265392,143161,432695,378330,0.736,0.623,466947.0,120535.31,6962.3200000000015,101405.06,19130.25,1,0.5266,0.0304,0.443,0.08359999999999995,1,228902.69,0.361,238044.31,125354.13364599999,105453.62933,7236.5470239999995,245889.443646,206858.68933,14198.867024000001,39031.0,Biden
Escambia,58185,1606,88711,-30526,2,0.39,0.01,0.6,-0.20999999999999996,2,57461,6200,88808,-31347,2,0.38,0.04,0.58,-0.19999999999999996,2,52891,17,75947,-23056,2,0.41,0.0,0.59,-0.18,2,SOLID RED,0.02,0.03,0.01,Northwest,12033,210039,94169,72637,43233,212987,95644,71984,45359,223467,99272,75535,48660,152469,128855,0.726,0.605,162237.0,32034.15,2172.9400000000005,39275.18,-7241.029999999999,2,0.4359,0.0296,0.5345,-0.09859999999999997,2,73482.27,0.329,88754.73,38688.186807,47439.403184999996,2627.140008,70722.336807,86714.583185,4800.080008000001,-15992.0,Trump
