CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
ADAMS,15091.0,599.0,26767.0,-11676.0,2,0.36,0.01,0.63,-0.27,2,14219.0,1847.0,31423.0,-17204.0,2,0.3,0.04,0.66,-0.36000000000000004,2,SOLID RED,-0.09,PA Dutch,42001,66718,35990,20173,10555,67695,37525,19446,10724,47489.0,0.712,48199.0,7394,0,13277,-5883,2,0.36,0,0.64,-0.28,2,20671,0.305,27528.0,9910.08,17617.920000000002,0.0,17304.08,30894.920000000002,0.0,-13591.0,2
ALLEGHENY,352687.0,7355.0,262039.0,90648.0,1,0.57,0.01,0.42,0.14999999999999997,1,367617.0,23017.0,259480.0,108137.0,1,0.57,0.04,0.4,0.16999999999999993,1,SOLID BLUE,0.02,Greater Pittsburgh,42003,924631,259534,539900,125197,898944,251635,523385,123924,650114.0,0.703,631958.0,224919,0,80544,144375,1,0.74,0,0.26,0.48,1,305463,0.34,326495.0,241606.3,84888.7,0.0,466525.3,165432.7,0.0,301093.0,1
ARMSTRONG,9045.0,415.0,20142.0,-11097.0,2,0.31,0.01,0.68,-0.37000000000000005,2,7178.0,956.0,23484.0,-16306.0,2,0.23,0.03,0.74,-0.51,2,SOLID RED,-0.14,Greater Pittsburgh,42005,42552,22120,15782,4650,42128,23512,13759,4857,31618.0,0.743,31301.0,4622,0,9632,-5010,2,0.32,0,0.68,-0.36000000000000004,2,14254,0.338,17047.0,5455.04,11591.960000000001,0.0,10077.04,21223.96,0.0,-11147.0,2
BEAVER,37055.0,1075.0,42344.0,-5289.0,2,0.46,0.01,0.53,-0.07,2,32531.0,2873.0,48167.0,-15636.0,2,0.39,0.03,0.58,-0.18999999999999995,2,SOLID RED,-0.12,Greater Pittsburgh,42007,113598,40793,59241,13564,110663,42938,53576,14149,83571.0,0.736,81448.0,20555,0,15072,5483,1,0.58,0,0.42,0.15999999999999998,1,35627,0.322,45821.0,26576.179999999997,19244.82,0.0,47131.17999999999,34316.82,0.0,12814.0,1
BEDFORD,4788.0,207.0,16702.0,-11914.0,2,0.22,0.01,0.77,-0.55,2,3645.0,440.0,19552.0,-15907.0,2,0.15,0.02,0.83,-0.6799999999999999,2,SOLID RED,-0.13,Alleghenies,42009,34460,21731,9465,3264,32237,21713,7434,3090,23637.0,0.686,22115.0,2038,0,8659,-6621,2,0.19,0,0.81,-0.6200000000000001,2,10697,0.332,11418.0,2169.42,9248.58,0.0,4207.42,17907.58,0.0,-13700.0,2
BERKS,83011.0,2607.0,84702.0,-1691.0,2,0.49,0.02,0.5,-0.010000000000000009,2,78437.0,8002.0,96626.0,-18189.0,2,0.43,0.04,0.53,-0.10000000000000003,2,SOLID RED,-0.09,PA Dutch,42011,259800,100782,120217,38801,256863,101768,114765,40330,183065.0,0.705,181088.0,38977,0,35972,3005,1,0.52,0,0.48,0.040000000000000036,1,74949,0.292,106139.0,55192.28,50946.72,0.0,94169.28,86918.72,0.0,7251.0,1
BLAIR,16276.0,646.0,33319.0,-17043.0,2,0.32,0.01,0.66,-0.34,2,13958.0,1816.0,39135.0,-25177.0,2,0.25,0.03,0.71,-0.45999999999999996,2,SOLID RED,-0.12,Alleghenies,42013,77834,44360,24080,9394,75535,44699,21603,9233,54909.0,0.705,53252.0,7220,0,17294,-10074,2,0.29,0,0.71,-0.42,2,24514,0.325,28738.0,8334.019999999999,20403.98,0.0,15554.019999999999,37697.979999999996,0.0,-22144.0,2
BRADFORD,8624.0,392.0,14410.0,-5786.0,2,0.37,0.02,0.62,-0.25,2,6369.0,1198.0,18141.0,-11772.0,2,0.25,0.05,0.71,-0.45999999999999996,2,SOLID RED,-0.21,Poconos,42015,37649,22376,10479,4794,36324,22326,9215,4783,25708.0,0.683,24809.0,2900,0,8071,-5171,2,0.26,0,0.74,-0.48,2,10971,0.302,13838.0,3597.88,10240.119999999999,0.0,6497.88,18311.12,0.0,-11813.0,2
BUCKS,160521.0,3916.0,156579.0,3942.0,1,0.5,0.01,0.49,0.010000000000000009,1,167060.0,12876.0,164361.0,2699.0,1,0.49,0.04,0.48,0.010000000000000009,1,SOLID BLUE,0.0,Philadelphia,42017,460832,188625,198007,74200,461310,185672,201254,74384,344297.0,0.747,344599.0,82847,0,63702,19145,1,0.57,0,0.43,0.13999999999999996,1,146549,0.318,198050.0,112888.49999999999,85161.5,0.0,195735.5,148863.5,0.0,46872.0,1
BUTLER,28550.0,1134.0,59761.0,-31211.0,2,0.32,0.01,0.67,-0.35000000000000003,2,28584.0,4059.0,64428.0,-35844.0,2,0.29,0.04,0.66,-0.37000000000000005,2,SOLID RED,-0.02,Greater Pittsburgh,42019,129728,69603,42272,17853,129783,71682,40423,17678,97071.0,0.748,97078.0,16277,0,28549,-12272,2,0.36,0,0.64,-0.28,2,44826,0.345,52252.0,18810.719999999998,33441.28,0.0,35087.72,61990.28,0.0,-26903.0,2
