County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote
ADAMS,15091.0,599.0,26767.0,-11676.0,2,0.36,0.01,0.63,-0.27,2,14219.0,1847.0,31423.0,-17204.0,2,0.3,0.04,0.66,-0.36000000000000004,2,SOLID RED,-0.09,PA Dutch,42001,67695,37525,19446,10724,66718,35990,20173,10555,47489.0,0.702,46836.0
ALLEGHENY,352687.0,7355.0,262039.0,90648.0,1,0.57,0.01,0.42,0.14999999999999997,1,367617.0,23017.0,259480.0,108137.0,1,0.57,0.04,0.4,0.16999999999999993,1,SOLID BLUE,0.02,Allegheny,42003,898944,251635,523385,123924,924631,259534,539900,125197,650114.0,0.723,668508.0
ARMSTRONG,9045.0,415.0,20142.0,-11097.0,2,0.31,0.01,0.68,-0.37000000000000005,2,7178.0,956.0,23484.0,-16306.0,2,0.23,0.03,0.74,-0.51,2,SOLID RED,-0.14,Central,42005,42128,23512,13759,4857,42552,22120,15782,4650,31618.0,0.751,31957.0
BEAVER,37055.0,1075.0,42344.0,-5289.0,2,0.46,0.01,0.53,-0.07,2,32531.0,2873.0,48167.0,-15636.0,2,0.39,0.03,0.58,-0.18999999999999995,2,SOLID RED,-0.12,West,42007,110663,42938,53576,14149,113598,40793,59241,13564,83571.0,0.755,85766.0
BEDFORD,4788.0,207.0,16702.0,-11914.0,2,0.22,0.01,0.77,-0.55,2,3645.0,440.0,19552.0,-15907.0,2,0.15,0.02,0.83,-0.6799999999999999,2,SOLID RED,-0.13,Central,42009,32237,21713,7434,3090,34460,21731,9465,3264,23637.0,0.733,25259.0
BERKS,83011.0,2607.0,84702.0,-1691.0,2,0.49,0.02,0.5,-0.010000000000000009,2,78437.0,8002.0,96626.0,-18189.0,2,0.43,0.04,0.53,-0.10000000000000003,2,SOLID RED,-0.09,PA Dutch,42011,256863,101768,114765,40330,259800,100782,120217,38801,183065.0,0.713,185237.0
BLAIR,16276.0,646.0,33319.0,-17043.0,2,0.32,0.01,0.66,-0.34,2,13958.0,1816.0,39135.0,-25177.0,2,0.25,0.03,0.71,-0.45999999999999996,2,SOLID RED,-0.12,Central,42013,75535,44699,21603,9233,77834,44360,24080,9394,54909.0,0.727,56585.0
BRADFORD,8624.0,392.0,14410.0,-5786.0,2,0.37,0.02,0.62,-0.25,2,6369.0,1198.0,18141.0,-11772.0,2,0.25,0.05,0.71,-0.45999999999999996,2,SOLID RED,-0.21,Central,42015,36324,22326,9215,4783,37649,22376,10479,4794,25708.0,0.708,26655.0
BUCKS,160521.0,3916.0,156579.0,3942.0,1,0.5,0.01,0.49,0.010000000000000009,1,167060.0,12876.0,164361.0,2699.0,1,0.49,0.04,0.48,0.010000000000000009,1,SOLID BLUE,0.0,Southeast,42017,461310,185672,201254,74384,460832,188625,198007,74200,344297.0,0.746,343781.0
BUTLER,28550.0,1134.0,59761.0,-31211.0,2,0.32,0.01,0.67,-0.35000000000000003,2,28584.0,4059.0,64428.0,-35844.0,2,0.29,0.04,0.66,-0.37000000000000005,2,SOLID RED,-0.02,West,42019,129783,71682,40423,17678,129728,69603,42272,17853,97071.0,0.748,97037.0
CAMBRIA,24249.0,1114.0,35163.0,-10914.0,2,0.4,0.02,0.58,-0.17999999999999994,2,18867.0,1947.0,42258.0,-23391.0,2,0.3,0.03,0.67,-0.37000000000000005,2,SOLID RED,-0.19,West,42021,83182,36240,38358,8584,86848,32756,45378,8714,63072.0,0.758,65831.0
CAMERON,724.0,28.0,1359.0,-635.0,2,0.34,0.01,0.64,-0.3,2,531.0,66.0,1589.0,-1058.0,2,0.24,0.03,0.73,-0.49,2,SOLID RED,-0.19,Central,42023,2987,1646,954,387,3232,1652,1211,369,2186.0,0.732,2366.0
